h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
0,-0.484598093198133,1.31866886215662,-2.65361535386443,1.68441916746816,1.44808131220919,2.27112168449268,-2.28758142777673,5.18374405219511,140,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
1,-1.81257289454312,1.91711040143743,-4.96593889161387,1.34079310252762,1.40136730523797,1.87568964541761,-1.68386761106252,4.48660222153845,139,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
2,-1.17767340083002,1.73870628239533,-4.03759073563129,1.68224393397124,1.13472316465421,2.57760761817901,-3.10506407496528,5.3745104042737,138,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
3,1.91524810627446,2.11670031900507,-1.56641409061038,5.39691030315929,1.74162008723209,3.76753718048179,-4.45542710875791,7.9386672832221,137,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
4,3.12087396442004,3.02101629323197,-1.84825564258205,8.09000357142213,2.48629534957681,3.39387366448484,-3.09613005686615,8.06872075601978,136,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
5,5.93457264110605,3.44982246758507,0.260119642960073,11.609025639252,4.20982383176085,4.48667072926179,-3.17009279020242,11.5897404537241,135,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
6,4.81742759987434,3.38219369055479,-0.745785959087091,10.3806411588358,1.52047243999191,4.20148797217978,-5.39036028964099,8.43130516962481,134,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
7,5.95136200050758,4.07835798401998,-0.756939921514172,12.6596639225293,7.56080005400625,4.4581424137343,0.227808335309197,14.8937917727033,133,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
8,5.93519662920641,3.75777917668396,-0.24580007884493,12.1161933372577,7.95729769916521,4.67166936234057,0.273085404601246,15.6415099937292,132,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
9,6.6483594238929,3.27635617565855,1.25923308517607,12.0374857626097,9.01349205509841,5.02279122212657,0.751735695963497,17.2752484142333,131,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
10,5.09039935103586,2.54038057307389,0.911845151578209,9.26895355049351,6.9949334154728,4.44932016332911,-0.323546992647399,14.313413823593,130,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
11,3.9373733595888,1.58564217793757,1.32922407216096,6.54552264701665,4.74103664578999,3.17094537759633,-0.474704359414345,9.95677765099432,129,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
12,3.71053195461843,2.00742917920564,0.408604788353818,7.01245912088304,1.20908817532373,2.61033890371453,-3.08453723802365,5.50271358867111,128,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
