h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
0,-0.697550668896591,1.32847716876337,-2.88270115825925,1.48759982046607,0.808784782743251,2.58292740968679,-3.43975273523245,5.05732230071895,140,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-1.19396722790565,1.97702845594504,-4.44588965425312,2.05795519844182,3.26823380346564,2.33823342380779,-0.577817924343757,7.11428553127503,139,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-0.655685396088292,1.8018782901548,-3.61951143697454,2.30814064479796,2.70198574585272,2.96839066036249,-2.18058239805339,7.58455388975883,138,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,3.09283887230005,2.23871877155566,-0.589525818817622,6.77520356341772,5.69743870187762,3.90940502943222,-0.732960340006294,12.1278377437615,137,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,3.83192401156222,3.21410622314415,-1.45481026698374,9.11865829010817,4.87750916135203,3.80725663960002,-1.38487073102913,11.1398890537332,136,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,6.5731044451365,3.68327599295842,0.514654569055558,12.6315543212174,6.3396918477597,4.59648537082715,-1.22085378567472,13.9002374811941,135,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
6,5.54678079691453,3.60449049625605,-0.382078469164345,11.4756400629934,3.96123947211852,4.66771772088326,-3.71647295066197,11.638951894899,134,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,6.46064895425557,4.40743130759617,-0.788930417583466,13.7102283260946,9.21985331948166,5.10946120282768,0.815537528242714,17.6241691107206,133,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
8,5.96134101383018,4.01579857533783,-0.644059837920798,12.5667418655812,8.0496794560255,5.24944965239541,-0.584896844216232,16.6842557562672,132,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,5.83471115418752,3.22452581506589,0.530838172077737,11.1385841362973,6.10131211373234,5.28158257577497,-2.58611814207481,14.7887423695395,131,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
10,3.97182900566851,2.25980429506054,0.254781714737666,7.68887629659936,3.00478296221268,4.76518512458611,-4.83324907305799,10.8428149974833,130,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
11,3.22664123448463,1.45009833875141,0.841441722553067,5.61184074641619,2.22459217880495,3.29749461578495,-3.19930379982187,7.64848815743178,129,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
12,3.00296374025233,1.87239130230135,-0.0768458844104338,6.08277336491508,-1.29400523267222,2.82289181178925,-5.93724906778538,3.34923860244095,128,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
0,0.0596897837986492,1.37365456896589,-2.19977091614336,2.31915048374066,1.88600319217232,2.70112240771384,-2.55694779699569,6.32895418134032,140,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-0.346135123096234,2.11264543517213,-3.82112762960158,3.12885738340912,3.77209655494759,2.46904275951437,-0.289117383137903,7.83331049303308,139,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-0.404035638996139,1.787462422066,-3.34414968697086,2.53607840897858,3.35301534040296,2.99010535762033,-1.56527030204587,8.27130098285178,138,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,3.38012818212629,2.15160470784964,-0.15894662534605,6.91920298959862,5.89318462948932,3.9104868005305,-0.538993767509133,12.3253630264878,137,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,4.00812834860714,3.08319255789646,-1.06327211283863,9.07952881005292,3.79236293703493,3.69103014398843,-2.27884138249166,9.86356725656151,136,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,6.55249358994568,3.46717134763093,0.849504223532717,12.2554829563586,5.71553505352742,4.25603636925513,-1.28502180487926,12.7160919119341,135,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
6,6.11164611712807,3.19965623337227,0.8486799566678,11.3746122775883,3.57076733746169,4.1845964867637,-3.31228137111996,10.4538160460433,134,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,6.49477604959065,3.79306804660227,0.255734315863169,12.7338177833181,8.86577627712774,4.83391201292408,0.914698570305275,16.8168539839502,133,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
8,5.8194921764343,3.67553874497984,-0.226231059246456,11.8652154121151,7.53952661456333,5.08503092267672,-0.824604941761874,15.9036581708885,132,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,6.05413943184629,2.94571421528793,1.20887072086743,10.8994081428252,5.86952807491085,4.84528714360055,-2.10026005686185,13.8393162066836,131,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
10,4.3045668837492,2.01654188625668,0.987650648240333,7.62148311925806,2.7019318347372,4.16102513120219,-4.14234544415695,9.54620911363136,130,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
11,3.92515312551067,1.53844178408453,1.39464157710553,6.4556646739158,2.58924124306929,2.96772690119407,-2.29223511416122,7.47071760029981,129,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
12,3.25247097257688,2.05964127192695,-0.135337443771099,6.64027938892486,-0.987953279881725,2.78711123650065,-5.57234330595702,3.59643674619357,128,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
0,-0.239790108938492,1.08408911385889,-2.02295801980789,1.5433778019309,-0.0594845363106321,1.72242308342229,-2.89261839222272,2.77364931960146,140,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-0.479562397957111,1.77659828951753,-3.4018065381058,2.44268174219158,0.434729266895104,1.9799180674953,-2.82194614749129,3.6914046812815,139,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-1.30657794908354,1.31699459271703,-3.47284128158963,0.859685383422552,0.581595273859898,1.76598046873139,-2.32318410525839,3.48637465297819,138,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,0.764287828702599,1.20340961753412,-1.21514484540669,2.74372050281189,3.42009186971391,1.92772101963381,0.249272958818645,6.59091078060918,137,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,1.79161812352673,1.97754222854081,-1.46114938353832,5.04438563059179,1.95452319759203,1.97202678176498,-1.28917220683953,5.19821860202359,136,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,3.01067141818571,2.06475081165003,-0.385541443107828,6.40688427947925,1.29523833963249,2.51626739261471,-2.84365320748954,5.43412988675452,135,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
6,2.89164860236056,1.65351661295004,0.171855804325165,5.61144140039596,2.13390538757593,2.26983900199953,-1.59964752745891,5.86745830261076,134,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,3.14672227349595,1.74460964847258,0.277094765591298,6.0163497814006,4.65128982330644,2.33138965660325,0.816495090805437,8.48608455580744,133,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
8,3.1569932894062,1.90295732074148,0.0269070384507248,6.28707954036167,4.95759755450008,2.51065399300547,0.827939228084826,9.08725588091533,132,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,2.51372375221241,1.87416493249193,-0.569003234502194,5.59645073892702,1.39798604374226,2.5755011213152,-2.83833631687063,5.63430840435515,131,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
10,1.76215215939231,0.934645126840714,0.224797732595844,3.29950658618878,0.527477313275118,2.24727860516005,-3.16896705119283,4.22392167774307,130,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
11,1.15007520707652,1.08253755405637,-0.63054061502427,2.93069102917731,0.835963608024733,1.93699114678473,-2.35010330513702,4.02203052118649,129,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
12,1.35897491157256,1.10094218124293,-0.451913828308737,3.16986365145385,-0.380760443576908,2.64945778045719,-4.73873068321671,3.9772097960629,128,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,gpr_plus_poisson_event_residual_with_current_rawN_control,World
0,0.127325459084452,0.134138164277409,-0.0933121869398559,0.34796310510876,0.0509242309328554,0.21755012388699,-0.306913879386403,0.408762341252114,140,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-0.0847313415379337,0.224166256220577,-0.453452021122482,0.283989338046615,-0.300324961113755,0.410469095795016,-0.975486542083678,0.374836619856169,139,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-0.17734308037319,0.181973645986396,-0.476663091983496,0.121976931237116,-0.277379954605313,0.232943752168251,-0.660538330234945,0.105778421024319,138,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,-0.38072459005272,0.200759629448987,-0.710944794697319,-0.05050438540812,-0.00956523322205365,0.2730468701556,-0.458687367925239,0.439556901481132,137,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,-0.630937978591026,0.238672040718833,-1.02351855041931,-0.238357406762744,-0.265132677909695,0.38874443999499,-0.904560379992673,0.374295024173284,136,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,-0.878599699877006,0.273211191577902,-1.32799211926765,-0.42920728048636,-0.859972072035525,0.393210688160723,-1.50674609861277,-0.213198045458276,135,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
6,-0.866103641073536,0.273837852851597,-1.31652682653309,-0.415680455613983,-0.991595392478048,0.469997042478538,-1.76467173245534,-0.218519052500759,134,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
7,-0.699816032624922,0.263664601620725,-1.13350570889949,-0.266126356350358,-0.931571208638639,0.47065342505252,-1.70572720187341,-0.157415215403869,133,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
8,-0.551203480517675,0.24091535834455,-0.947473981479021,-0.154932979556328,-1.15617420959336,0.530043522017492,-2.02801821922596,-0.284330199960756,132,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
9,-0.44513719520447,0.185676899048763,-0.75054851604593,-0.139725874363011,-1.34364922889319,0.368128258541625,-1.94916633013871,-0.738132127647666,131,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
10,-0.28617909330466,0.206025672588841,-0.625061168107532,0.0527029814982122,-0.826251986943239,0.387830994496101,-1.46417720488435,-0.188326769002131,130,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
11,-0.0088434065553458,0.202403368421421,-0.341767321210516,0.324080508099824,-0.517085989133783,0.391284575489198,-1.16069184229736,0.126519864029791,129,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
12,0.236084096304392,0.254313706131906,-0.182224725610144,0.654392918218929,-0.225425887641379,0.296011503323909,-0.712321482503069,0.261469707220311,128,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
0,-0.228536997263258,0.220708861783543,-0.59157076906825,0.134496774541734,-0.0347869540277631,0.455206723660496,-0.783535384453427,0.713961476397901,140,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
1,-0.178161370694612,0.318707232735239,-0.702388118394838,0.346065377005613,-0.585912750783738,0.644252244892084,-1.64561339246611,0.473787890898634,139,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
2,-0.475666947057246,0.336671396382764,-1.02944211448825,0.0781082203737606,-0.552155466069385,0.443271521166966,-1.28127223538517,0.176961303246396,138,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
3,-0.854698801511047,0.349639290691682,-1.42980425693,-0.279593346092094,-0.111726397416878,0.506742497766864,-0.945243632799152,0.721790837965396,137,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
4,-0.997685792188436,0.368315729942569,-1.60351125644775,-0.391860327929123,-0.699156229445101,0.640925984170269,-1.75338565911501,0.355073200224808,136,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
5,-1.37178131116027,0.410096566712464,-2.04633013631761,-0.697232486002929,-1.33945443428839,0.598111125711456,-2.3232596887349,-0.355649179841869,135,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,gpr_plus_poisson_event_residual_with_current_rawN_control,World
