h,beta,se,lb,ub,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
0,1.98225824689068,2.53065555258341,-2.18029971734103,6.14481621112239,137,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
1,3.28517065835149,2.29087189041812,-0.482978279483939,7.05331959618691,136,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
2,1.55715961160265,2.65966346452574,-2.81759748449283,5.93191670769814,135,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
3,0.292071151727221,3.28823503626422,-5.11659417394088,5.70073647739533,134,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
4,0.514324192637368,2.44956129519221,-3.51484558819949,4.54349397347422,133,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
5,-0.0766145653370495,2.96417775461866,-4.95225309595042,4.79902396527632,132,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
6,-3.76294425748191,3.35233406617788,-9.27704310498757,1.75115459002376,131,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
7,-0.568186754155469,3.59364553090775,-6.47920763964703,5.34283413133609,130,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
8,0.302780133269389,4.35903947716016,-6.86720176076215,7.47276202730093,129,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
9,0.0785040275907919,4.22054372284743,-6.86367262264208,7.02068067782366,128,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
10,1.3500861369021,4.16909952275222,-5.50747233421855,8.20764460802274,127,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
11,0.914412330666119,3.11817928728237,-4.21453617950525,6.04336084083749,126,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
12,-1.49975778796487,3.97955550734815,-8.04554409788117,5.04602852195144,125,n_OilSpecificThreatShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
0,2.66665335659435,2.55603494215955,-1.53764998863149,6.87095670182019,137,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
1,3.42575437442904,2.30031924984161,-0.357934086819223,7.20944283567731,136,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
2,2.19094813693006,2.5017198101629,-1.92401476643274,6.30591104029286,135,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
3,0.0074451959387949,3.14253315984299,-5.16156186984421,5.1764522617218,134,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
4,-0.65070194134354,2.34295725091209,-4.50452367329854,3.20311979061146,133,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
5,-0.779288260519091,2.68109258248663,-5.18929311901491,3.63071659797673,132,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
6,-4.30540251912001,3.42351733538311,-9.93658742515616,1.32578238691613,131,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
7,-1.28671560629764,3.73434073809695,-7.42915951362905,4.85572830103377,130,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
8,-0.340512751192808,4.44130363392961,-7.64580714185468,6.96478163946906,129,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
9,-0.471838273576025,4.0891798390734,-7.19794056313274,6.25426401598069,128,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
10,0.325723042838261,3.87661760133327,-6.05074547901869,6.70219156469521,127,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
11,0.313842731408137,2.8211764593925,-4.32657960009373,4.95426506291001,126,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
12,-1.52785177754285,3.63932843748144,-7.51401435760183,4.45831080251613,125,n_OilSpecificThreatShock_EventOnset,Real_WTI,WTI crude oil price,poisson_residual_event_level_lp,World
0,0.437749086628352,1.55900057438227,-2.12657866256375,3.00207683582046,137,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
1,0.160656098410249,1.50183581742053,-2.30964399295953,2.63095618978003,136,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
2,0.397398217644776,1.33594542586317,-1.80003646149548,2.59483289678504,135,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
3,0.729216633262262,1.68980608310415,-2.05026703137626,3.50870029790079,134,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
4,-0.359492112620189,1.52105767777575,-2.86140935071201,2.14242512547163,133,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
5,-0.524903614273538,1.49854557105862,-2.98979173198138,1.93998450343431,132,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
6,-1.1666444430766,2.01984080337922,-4.48898691437949,2.15569802822629,131,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
7,-0.488186238009583,1.836125883895,-3.50834455767375,2.53197208165458,130,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
8,0.188389682061854,1.93748659521604,-2.99849217124911,3.37527153537282,129,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
9,0.0359795688329735,1.89137892469643,-3.07506191539353,3.14702105305948,128,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
10,0.0404139321513877,1.97849722742332,-3.21392440828929,3.29475227259206,127,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
11,-0.0218246248083341,1.43536206052956,-2.38278511605891,2.33913586644224,126,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
12,-0.363195556362539,1.72468876671653,-3.20005612965868,2.4736650169336,125,n_OilSpecificThreatShock_EventOnset,Real_Gasoline,Gasoline price,poisson_residual_event_level_lp,World
0,0.0476230846271164,0.200769559767427,-0.282613453937786,0.377859623192019,137,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
1,0.0365489187286499,0.307746357520504,-0.469648793620055,0.542746631077355,136,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
2,0.0297841789348643,0.276392314227475,-0.424840721583709,0.484409079453438,135,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
3,0.293468901141289,0.280778873098687,-0.168371246646433,0.755309048929011,134,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
4,0.234365077766935,0.342459303576258,-0.328930349803748,0.797660505337618,133,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
5,0.082259902777132,0.388637104606002,-0.556991248301969,0.721511053856233,132,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
6,-0.045948356353563,0.433934834650273,-0.759707642988652,0.667810930281526,131,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
7,-0.0308131787150133,0.439610706871855,-0.753908444359885,0.692282086929858,130,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
8,-0.553120424863135,0.477669623221662,-1.33881703710383,0.232576187377559,129,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
9,-0.478048544618744,0.384853593577144,-1.11107637385942,0.15497928462193,128,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
10,-0.561790147583325,0.380071526637719,-1.18695217667436,0.0633718815077108,127,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
11,-0.556035218305581,0.354235089203168,-1.13870008957489,0.0266296529637282,126,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
12,-0.325789986710329,0.388928962100499,-0.965521200647806,0.313941227227148,125,n_OilSpecificThreatShock_EventOnset,inv_OECD,OECD inventory,poisson_residual_event_level_lp,World
0,0.129432933472249,0.467994612820405,-0.640349702819145,0.899215569763642,137,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
1,-0.304004649726607,0.499144869639649,-1.1250248989276,0.517015599474389,136,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
2,-0.0689867641748548,0.444644506144205,-0.800361892810196,0.662388364460487,135,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
3,0.491452590872745,0.511346910239777,-0.349638229065581,1.33254341081107,134,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
4,0.0408874294789891,0.516431121001114,-0.808566172970307,0.890341031928286,133,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
5,-0.136449960200228,0.532661300865913,-1.01259983286621,0.739699912465759,132,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
6,0.130624567590179,0.645805573505455,-0.931631072295745,1.1928802074761,131,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
7,0.217066813227054,0.774340391381848,-1.0566097880324,1.49074341448651,130,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
8,-0.716554555720576,0.686209360895998,-1.84526851183841,0.412159400397258,129,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
9,-0.564923118428152,0.535254856198305,-1.44533900998932,0.315492773133019,128,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
10,-0.672906464181952,0.597142842596431,-1.6551190346348,0.3093061062709,127,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
11,-0.999740418116227,0.552800382812207,-1.90901613276505,-0.0904647034674055,126,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
12,-0.316451848954973,0.529850564301598,-1.18797847138874,0.555074773478795,125,n_OilSpecificThreatShock_EventOnset,inv_USA,U.S. inventory,poisson_residual_event_level_lp,World
0,-0.313403977547445,0.270024840102214,-0.757555315156563,0.130747360061674,137,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
1,-0.0401884049544381,0.155333522624528,-0.295689313030542,0.215312503121666,136,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
2,-0.0229974678003722,0.21500275886656,-0.376645535526606,0.330650599925862,135,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
3,-0.263016727259551,0.265212069531125,-0.699251761739129,0.173218307220027,134,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
4,-0.264533470052339,0.207370903401579,-0.60562825263663,0.0765613125319514,133,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
5,-0.149357261910703,0.313187170608393,-0.664504315400588,0.365789791579182,132,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
6,-0.041681213026813,0.300530819315477,-0.536010421188573,0.452647995134947,131,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
7,-0.109807887475929,0.272181163385986,-0.557506061259239,0.33789028630738,130,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
8,0.298350010033278,0.303863686551775,-0.201461276890256,0.798161296956811,129,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
9,-0.148620658439159,0.293671290053435,-0.631666945015069,0.334425628136752,128,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
10,0.0443591101069656,0.298329235597028,-0.446348815090467,0.535067035304398,127,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
11,0.150669697160361,0.265924105749464,-0.286736532675472,0.588075926996194,126,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
12,0.0742424700495999,0.256891955095781,-0.348307194024351,0.496792134123551,125,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,poisson_residual_event_level_lp,World
0,2.47770707655572,2.47303282553926,-1.59006993610257,6.54548408921402,137,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
1,2.09332547547102,2.79205004351238,-2.49918816523033,6.68583911617236,136,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
2,2.49569997603753,2.96206614208569,-2.37646526104226,7.36786521311733,135,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
3,0.709115192570781,3.87290240369491,-5.66124237297586,7.07947275811743,134,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
4,0.0511957047194426,3.9608966501213,-6.46389951621252,6.5662909256514,133,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
5,-1.38878613189354,4.0481688802429,-8.04743139707316,5.26985913328608,132,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,poisson_residual_event_level_lp,World
