h,beta,se,lb,ub,nobs,shock,outcome,outcome_label,specification
0,-0.843569243958355,1.37005347093329,-3.09710666474043,1.40996817682372,137,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
1,-3.09998593555875,1.72957877270942,-5.94488985294811,-0.255082018169385,136,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
2,-1.25919843955682,1.96387135669387,-4.48947936348083,1.9710824843672,135,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
3,1.86472588118476,2.05324410837745,-1.51256013749663,5.24201189986615,134,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
4,3.3386657070771,2.05745637924537,-0.0455488806190893,6.72288029477328,133,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
5,6.47528397002478,2.22068749871672,2.82257808343478,10.1279898566148,132,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
6,7.12659543344439,2.90150549384295,2.35404359827719,11.8991472686116,131,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
7,6.75631884544899,3.68650099016635,0.692564321013678,12.8200733698843,130,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
8,5.91536089643987,3.49509565621497,0.166440129772338,11.6642816631074,129,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
9,6.03184628355313,3.0048277058738,1.08934453318233,10.9743480339239,128,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
10,3.83376053914585,2.48693333163445,-0.256880771379591,7.92440184967129,127,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
11,2.51897585536659,2.10685789818809,-0.946496999939443,5.98444871067262,126,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
12,4.14539818452648,2.59685728505547,-0.126051939472356,8.41684830852532,125,US,Real_Brent,Brent crude oil price,level_change_y_tph_minus_y_tm1
0,-0.552196620293677,1.38466507074118,-2.82976798401533,1.72537474342797,137,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
1,-2.51430385504265,1.81294677166777,-5.49633592789034,0.467728217805048,136,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
2,-1.40634232562174,1.85978785934813,-4.46542113143083,1.65273648018736,135,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
3,2.11174228250078,1.99854292739387,-1.17556830024124,5.3990528652428,134,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
4,4.00842894162011,1.9992886946932,0.719891680830926,7.29696620240929,133,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
5,6.66970027266432,2.19072648963971,3.06627586052178,10.2731246848069,132,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
6,7.63009612370412,2.69118839518953,3.20348513106691,12.0567071163413,131,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
7,7.15426478404622,3.26238491141658,1.78811912999089,12.5204104381015,130,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
8,5.82376215640447,3.30374319721476,0.38958817594952,11.2579361368594,129,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
9,6.47780638598281,2.86230174452265,1.7697389800752,11.1858737918904,128,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
10,4.49229492484831,2.43642402678814,0.484734027594131,8.49985582210249,127,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
11,3.07286553422937,2.06395445562634,-0.322037437970265,6.46776850642901,126,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
12,4.45394062021592,2.47394753734178,0.384659040531637,8.52322219990021,125,US,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
0,-0.551940893985705,0.965596825011613,-2.14020633377888,1.03632454580747,137,US,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
1,-1.24727954425897,1.31635991851467,-3.41249893060138,0.917939842083431,136,US,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
