variant,shock,outcome,horizon,beta,se,lb,ub,nobs
with_oil,World,Real_Brent,0,1.23417362584961,1.67360803932604,-1.51866662773097,3.9870138794302,150
with_oil,World,Real_Brent,1,1.12763906661899,2.07537817720788,-2.28605425545732,4.54133238869531,149
with_oil,World,Real_Brent,2,-0.0737779459577074,1.67952786974854,-2.83635545407967,2.68879956216426,148
with_oil,World,Real_Brent,3,0.581436901035485,1.63942801446434,-2.11518221468204,3.27805601675301,147
with_oil,World,Real_Brent,4,1.28898413136709,1.75386879631157,-1.595873319443,4.17384158217719,146
with_oil,World,Real_Brent,5,3.46390682982792,1.84197772936862,0.43412308091212,6.49369057874373,145
with_oil,World,Real_Brent,6,2.73028833616881,2.08527816446589,-0.699689015855624,6.16026568819325,144
with_oil,World,Real_Brent,7,4.07731792259862,2.15870921602769,0.526557239081907,7.62807860611534,143
with_oil,World,Real_Brent,8,3.82434221393586,2.11595658284523,0.343903354171039,7.30478107370067,142
with_oil,World,Real_Brent,9,4.55217594776248,2.03469758137445,1.20539625128933,7.89895564423563,141
with_oil,World,Real_Brent,10,3.34766858969212,1.8008545176682,0.385526504693627,6.3098106746906,140
with_oil,World,Real_Brent,11,3.2657202616353,1.99434906460227,-0.0146920306830163,6.54613255395361,139
with_oil,World,Real_Brent,12,3.43566361824529,2.20349704197084,-0.188766483217293,7.06009371970787,138
with_oil,World,Real_WTI,0,0.941936650438113,1.55469496276283,-1.61530899786551,3.49918229874173,153
with_oil,World,Real_WTI,1,1.06296394477377,1.9260965273568,-2.1051829141077,4.23111080365524,152
with_oil,World,Real_WTI,2,-0.126660836858375,1.52443125406832,-2.63412711415084,2.38080544043409,151
with_oil,World,Real_WTI,3,0.844645024074476,1.51110782889747,-1.64090616900229,3.33019621715124,150
with_oil,World,Real_WTI,4,1.35039896344415,1.58790313072543,-1.26146926037717,3.96226718726548,149
with_oil,World,Real_WTI,5,3.53632372917046,1.69412180761011,0.749741329425381,6.32290612891554,148
with_oil,World,Real_WTI,6,3.12076374474318,1.87703506325795,0.0333158130282594,6.2082116764581,147
with_oil,World,Real_WTI,7,3.82915543860975,1.93574512895278,0.645138042398118,7.01317283482138,146
with_oil,World,Real_WTI,8,3.2220308453036,2.00027509840711,-0.0681289052120517,6.51219059581924,145
with_oil,World,Real_WTI,9,4.15063328250948,1.82877347283166,1.14256860284968,7.15869796216927,144
with_oil,World,Real_WTI,10,3.10893111319223,1.53440031557207,0.585067188928024,5.63279503745643,143
with_oil,World,Real_WTI,11,3.45933120549601,1.74989317030257,0.581013077546218,6.33764933344581,142
with_oil,World,Real_WTI,12,3.69094659996221,1.86850083886816,0.617536218188044,6.76435698173637,141
with_oil,World,Real_Gasoline,0,-0.142027794449387,0.76429965398437,-1.39918885238333,1.11513326348456,153
with_oil,World,Real_Gasoline,1,0.0196377096701934,1.07607640677718,-1.75035047089415,1.78962589023454,152
with_oil,World,Real_Gasoline,2,-0.391723970351177,0.742742153408908,-1.61342609527557,0.829978154573213,151
with_oil,World,Real_Gasoline,3,-0.402056220209708,0.843096694129255,-1.78882687541901,0.984714434999593,150
with_oil,World,Real_Gasoline,4,-0.115216905745372,0.895895112923568,-1.5888332316058,1.35839942011506,149
with_oil,World,Real_Gasoline,5,1.35434450259581,0.743570135700423,0.131280467996174,2.57740853719545,148
with_oil,World,Real_Gasoline,6,1.43107417467895,1.06301614081756,-0.317431780052778,3.17958012941068,147
with_oil,World,Real_Gasoline,7,1.94083175896319,0.987245491244045,0.316957431998931,3.56470608592744,146
with_oil,World,Real_Gasoline,8,1.67061864411013,1.19694466952536,-0.298180136818895,3.63941742503915,145
with_oil,World,Real_Gasoline,9,2.16187452895671,1.10888454256677,0.337921767245339,3.98582729066808,144
with_oil,World,Real_Gasoline,10,2.11666715856018,0.858284246977252,0.704915201964331,3.52841911515602,143
with_oil,World,Real_Gasoline,11,1.323410184317,1.17099187996534,-0.60270005657471,3.24952042520871,142
with_oil,World,Real_Gasoline,12,1.54891859855299,1.03863993768504,-0.159492070044888,3.25732926715088,141
with_oil,World,Headline_Pi,0,-0.01644671820885,0.0414411494128865,-0.0846113431256742,0.0517179067079741,150
with_oil,World,Headline_Pi,1,-0.0149417667433363,0.0668713062680251,-0.12493527739728,0.0950517439106075,149
with_oil,World,Headline_Pi,2,-0.0477850320471364,0.0762858312705075,-0.173264058297439,0.0776939942031658,148
with_oil,World,Headline_Pi,3,-0.0655047694274654,0.0886589578301686,-0.211335777776156,0.080326238921225,147
with_oil,World,Headline_Pi,4,-0.0704788578010947,0.100545529706768,-0.235861537013029,0.0949038214108399,146
with_oil,World,Headline_Pi,5,-0.0370041607809427,0.1075225996511,-0.213863098796305,0.13985477723442,145
with_oil,World,Headline_Pi,6,-0.103649033651327,0.1202471515793,-0.301437997057123,0.0941399297544683,144
with_oil,World,Headline_Pi,7,-0.0425637695672695,0.123875498349501,-0.246320832317867,0.161193293183328,143
with_oil,World,Headline_Pi,8,-0.0530358672597538,0.144555689887542,-0.290808818067749,0.184737083548241,142
with_oil,World,Headline_Pi,9,-0.0875172710573767,0.14952100159463,-0.333457432835721,0.158422890720968,141
with_oil,World,Headline_Pi,10,-0.130754295274606,0.132401556747817,-0.348535476105275,0.0870268855560623,140
with_oil,World,Headline_Pi,11,-0.129154434257426,0.138024765563604,-0.356184970503846,0.0978761019889945,139
with_oil,World,Headline_Pi,12,-0.0843337442316913,0.140927815062909,-0.316139371976263,0.14747188351288,138
with_oil,World,Core_Pi,0,0.0155460523565015,0.0162819477399578,-0.0112353684374024,0.0423274731504054,150
with_oil,World,Core_Pi,1,-0.0136783463139268,0.0232388148249911,-0.0519027951648671,0.0245461025370135,149
with_oil,World,Core_Pi,2,-0.0210845345385352,0.0357803741520907,-0.0799380127362823,0.0377689436592119,148
with_oil,World,Core_Pi,3,-0.0243805414097298,0.0474543816590735,-0.102436053196396,0.0536749703769367,147
with_oil,World,Core_Pi,4,-0.0662882543074966,0.0598024151153376,-0.164654473710417,0.0320779650954239,146
with_oil,World,Core_Pi,5,-0.0690412774793416,0.0686654640807614,-0.181985915118888,0.0439033601602049,145
with_oil,World,Core_Pi,6,-0.106214676811092,0.0779131363732912,-0.234370381761864,0.021941028139681,144
with_oil,World,Core_Pi,7,-0.10227350412843,0.0853515028855785,-0.242664233215533,0.0381172249586727,143
with_oil,World,Core_Pi,8,-0.113614562113165,0.096434686122366,-0.272235505345465,0.0450063811191357,142
with_oil,World,Core_Pi,9,-0.12588215877839,0.103304861194959,-0.295803534396637,0.0440392168398574,141
with_oil,World,Core_Pi,10,-0.134026270973339,0.108339796096137,-0.312229377525253,0.0441768355785745,140
with_oil,World,Core_Pi,11,-0.142277836512616,0.113341413416346,-0.328707871454298,0.0441521984290663,139
with_oil,World,Core_Pi,12,-0.143074515159159,0.11214219298074,-0.327532008017821,0.0413829776995035,138
with_oil,World,Indu_Prod,0,-1.82290305442946e-05,0.00131464047800976,-0.00218062018893586,0.00214416212784727,150
with_oil,World,Indu_Prod,1,-0.00192932477127747,0.00142071299286459,-0.00426618969044787,0.000407540147892934,149
with_oil,World,Indu_Prod,2,-0.000386636218492007,0.00223020463283958,-0.00405499639766216,0.00328172396067815,148
with_oil,World,Indu_Prod,3,0.00170876775166424,0.002536573285788,-0.00246352401749237,0.00588105952082084,147
with_oil,World,Indu_Prod,4,0.000814424787915305,0.00247581971772546,-0.0032579362544634,0.00488678583029401,146
with_oil,World,Indu_Prod,5,0.000912792610519082,0.0024107908496977,-0.0030526054624276,0.00487819068346576,145
with_oil,World,Indu_Prod,6,0.00086919031873144,0.00250407249989494,-0.0032496424148702,0.00498802305233308,144
with_oil,World,Indu_Prod,7,-0.000471630149060456,0.00247977245183957,-0.00455049286048312,0.00360723256236221,143
with_oil,World,Indu_Prod,8,-0.00259231143651278,0.0029826277572969,-0.00749829752094872,0.00231367464792315,142
with_oil,World,Indu_Prod,9,-0.00143271776240157,0.00310242944098289,-0.0065357600807633,0.00367032455596017,141
