quarter,year,qtr,OilThreat,OilAct,ThreatOnly,ActOnly,ThreatAct,AnyOilEvent,OilRealization,StrictSupplyDisruption,ChokepointShippingRisk,EnergySanction,ProducerRegionRisk,OilSpecificShock,OilSpecificRealizedShock,OilSpecificThreatShock,OilThreat_EventOnset,OilAct_EventOnset,OilRealization_EventOnset,OilThreatOnly_EventOnset,OilActOnly_EventOnset,OilThreatAct_EventOnset,AnyOilEvent_EventOnset,OilSpecificShock_EventOnset,OilSpecificRealizedShock_EventOnset,OilSpecificThreatShock_EventOnset,StrictSupplyDisruption_EventOnset,SupplyDisruptionRealized_EventOnset,ChokepointShippingRisk_EventOnset,ChokepointThreatOnly_EventOnset,EnergySanction_EventOnset,ProducerRegionRisk_EventOnset,OilThreat_RisingOnset,OilAct_RisingOnset,AnyOilEvent_RisingOnset,OilSpecificShock_RisingOnset,OilSpecificRealizedShock_RisingOnset,StrictSupplyDisruption_RisingOnset,COVID_2020,COVID_2020_2021,onset_event_names,realized_oil_shock_onset_names,n_events,n_threat_events,n_act_events,n_event_level_ThreatOnly,n_event_level_ActOnly,n_event_level_ThreatAct,quarter_overlap_type,max_oil_relevance,event_ids,event_names,regions,event_types,rationales,source_urls,EventEpisodeOnset,n_AnyOilEvent_EventOnset,n_OilThreat_EventOnset,n_OilAct_EventOnset,n_OilRealization_EventOnset,ThreatOnly_EventOnset,n_ThreatOnly_EventOnset,ActOnly_EventOnset,n_ActOnly_EventOnset,ThreatAct_EventOnset,n_ThreatAct_EventOnset,n_StrictSupplyDisruption_EventOnset,n_ChokepointShippingRisk_EventOnset,n_EnergySanction_EventOnset,n_ProducerRegionRisk_EventOnset,n_OilSpecificShock_EventOnset,n_OilSpecificRealizedShock_EventOnset,n_OilSpecificThreatShock_EventOnset,n_StrictSupplyDisruption,n_ChokepointShippingRisk,n_EnergySanction,n_ProducerRegionRisk,n_OilSpecificRealizedShock,n_OilSpecificThreatShock,OilRealization_RisingOnset,ThreatOnly_RisingOnset,ActOnly_RisingOnset,ThreatAct_RisingOnset,ChokepointShippingRisk_RisingOnset,EnergySanction_RisingOnset,ProducerRegionRisk_RisingOnset,OilSpecificThreatShock_RisingOnset
1986Q1,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986Q2,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986Q3,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986Q4,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987Q1,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987Q2,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987Q3,1987,3,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,Tanker War / Operation Earnest Will begins,Tanker War / Operation Earnest Will begins,1,1,1,0,0,1,same_event_or_episode_overlap,high,E001,Tanker War / Operation Earnest Will begins,Persian Gulf,shipping_route_attack_or_protection,Iran-Iraq Tanker War attacks and U.S. escort mission for Kuwaiti oil tankers; oil relevance is via Persian Gulf tanker security rather than measured global production loss.,https://www.gao.gov/assets/nsiad-90-282br.pdf,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1
1987Q4,1987,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988Q1,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,none,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988Q2,1988,2,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,U.S.-Iran naval escalation during Tanker War / Operation Praying Mantis context,U.S.-Iran naval escalation during Tanker War / Operation Praying Mantis context,1,1,1,0,0,1,same_event_or_episode_overlap,high,E002,U.S.-Iran naval escalation during Tanker War / Operation Praying Mantis context,Persian Gulf,shipping_route_military_escalation,Escalation of U.S.-Iran naval conflict in the Persian Gulf during the 1987-88 tanker escort episode; oil relevance is shipping/chokepoint security.,https://www.navybook.com/no-higher-honor/timeline/operation-earnest-will/,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1
