Quarter,LGPRUS,LGPRISR,LGPRRU,LGPRCHN
1986Q1,559.9841796,415.4255806,474.2029369,253.8973871
1986Q2,573.9076242,397.4651868,478.1920698,226.8683541
1986Q3,555.6699176,388.0853399,472.1470642,270.8050201
1986Q4,552.9039019,398.4545275,474.7826486,290.8720897
1987Q1,548.9360484,391.3095512,455.3876892,236.7123614
1987Q2,555.4821367,352.7622743,487.2649551,317.805383
1987Q3,563.9001479,348.6963813,488.0273476,332.0228319
1987Q4,559.4046828,336.6436663,486.4967055,306.0270795
1988Q1,545.5069825,389.6048748,459.1747166,290.8720897
1988Q2,554.5784755,399.6917571,462.8235459,313.5494216
1988Q3,532.6049337,370.7474364,438.6184645,285.263143
1988Q4,529.1083594,390.7185313,430.4065093,253.8973871
1989Q1,534.9961725,389.7546878,448.863637,263.905733
1989Q2,540.0993552,356.8930422,457.8141514,385.7214769
1989Q3,541.7637867,402.4897,429.0459441,319.1847152
1989Q4,542.4286401,313.0261707,435.2426165,319.1847152
1990Q1,520.049607,307.2380758,445.4347296,283.3213344
1990Q2,530.8337421,390.1947432,463.7960009,281.3410717
1990Q3,609.9094623,438.2121839,503.2614201,360.1868077
1990Q4,596.5140783,441.4979836,482.5643509,347.609869
1991Q1,659.4224471,536.7945931,532.9492984,327.0835564
1991Q2,540.1863756,363.7002531,437.7851263,329.5836866
1991Q3,557.2369415,391.6148998,498.3606622,314.9882953
1991Q4,547.5573769,359.356802,477.6318442,336.729583
1992Q1,537.1184198,349.3842706,460.5170186,347.609869
1992Q2,530.2636258,314.4259614,429.5015258,287.1679625
1992Q3,516.6418466,276.128616,393.1825633,283.3213344
1992Q4,521.9164905,316.353114,397.0291914,304.4522438
1993Q1,544.5677446,363.1410112,435.2426165,294.4438979
1993Q2,548.4101488,291.9250047,465.0780697,317.805383
1993Q3,540.0321509,363.70906,426.7363726,332.0228319
1993Q4,526.8607329,321.244321,412.7134385,328.3414346
1994Q1,537.7169382,316.1636303,436.9447852,320.5452805
1994Q2,549.4759374,312.7867207,426.7363726,368.0511204
1994Q3,541.4977934,325.7023749,432.1922711,299.5732274
1994Q4,532.8208946,348.3752622,445.4347296,310.6080331
1995Q1,511.6643431,339.1855698,426.2679877,283.3213344
1995Q2,535.1035578,331.9889518,441.8840608,313.5494216
1995Q3,531.640452,303.0264514,416.924587,304.4522438
1995Q4,497.5602017,296.2771362,368.0511204,268.5577345
1996Q1,508.3634554,368.4933366,407.7537444,350.6557897
1996Q2,499.1737137,385.9674809,400.1254139,344.4682494
1996Q3,516.101342,360.0222796,399.5137912,301.2261576
1996Q4,480.6761728,285.850457,353.61167,285.263143
1997Q1,466.1862304,294.0667438,350.6557897,281.3410717
1997Q2,465.3984525,277.2049847,335.5735008,307.5774981
1997Q3,454.2850161,339.3978038,314.9882953,275.1535313
1997Q4,476.0413401,308.674288,391.8667548,335.5735008
1998Q1,494.2247267,348.2049569,400.7333185,317.805383
1998Q2,503.4536007,313.8990127,409.4344562,391.8667548
1998Q3,507.4727093,302.4015177,389.8599985,324.5193133
1998Q4,503.7562165,343.0397866,391.8667548,321.8875825
1999Q1,501.1450009,254.0656,411.0873864,339.0024081
1999Q2,527.0503979,251.2377341,443.0816799,403.1286426
1999Q3,486.7737721,293.001421,393.1825633,349.6507561
1999Q4,501.0748219,300.6222697,440.6719247,360.1868077
2000Q1,474.2362804,300.7469255,398.2792076,323.2121052
2000Q2,481.4294377,297.0863986,386.4232342,334.4038968
2000Q3,456.5311789,271.3677761,361.0917913,329.5836866
2000Q4,479.9418312,398.2280743,356.4826805,285.263143
2001Q1,472.672294,346.1286568,367.2072336,332.0228319
2001Q2,487.3893803,353.8430184,372.1669277,352.6360525
2001Q3,627.2614253,428.2808335,443.8721978,376.8922162
2001Q4,680.3794342,466.2562974,491.7544871,385.0147602
2002Q1,596.7656321,433.8507241,396.3982744,349.6507561
2002Q2,595.7868075,479.0711833,424.8495242,312.0895417
2002Q3,585.5126439,422.6796216,418.459144,345.5264603
2002Q4,600.6578541,409.4148517,462.4972813,386.4232342
2003Q1,649.2098156,441.7763558,493.9258631,445.0463796
2003Q2,615.5375318,434.3693793,449.6099091,409.9884743
2003Q3,576.688945,394.2923084,391.8667548,359.2735594
